"Time","PM10","PM2_5","O3","NO2","CO","SO4"
2019-11-19 00:00:00,34,12,0.008,0.053,0.4,0.004
2019-11-18 23:00:00,52,12,0.004,0.074,0.5,0.004
2019-11-18 22:00:00,64,16,0.003,0.123,1,0.007
2019-11-18 21:00:00,58,16,0.004,0.14,0.5,0.005
2019-11-18 20:00:00,51,15,0.005,NA,0.6,0.005
2019-11-18 19:00:00,57,12,0.007,0.073,0.3,0.004
2019-11-18 18:00:00,104,22,0.006,0.083,0.4,0.004
2019-11-18 17:00:00,238,33,0.006,0.069,0.4,0.004
2019-11-18 16:00:00,269,43,0.009,0.054,0.3,0.004
2019-11-18 15:00:00,247,NA,0.008,0.059,0.3,0.004
2019-11-18 14:00:00,NA,NA,0.01,0.051,0.3,0.004
2019-11-18 13:00:00,165,23,0.01,0.05,0.3,0.004
2019-11-18 12:00:00,178,23,0.009,0.051,0.3,0.004
2019-11-18 11:00:00,160,26,0.008,0.052,0.3,0.004
2019-11-18 10:00:00,NA,23,0.005,0.072,0.4,0.004
2019-11-18 09:00:00,NA,18,0.005,0.06,0.5,0.004
2019-11-18 08:00:00,18,14,0.005,0.057,0.5,0.004
2019-11-18 07:00:00,20,10,0.004,0.067,0.5,0.004
2019-11-18 06:00:00,12,6,0.013,0.035,0.4,0.004
2019-11-18 05:00:00,12,9,0.019,0.023,0.3,0.004
2019-11-18 04:00:00,NA,11,0.021,0.022,0.3,0.004
2019-11-18 03:00:00,NA,12,0.025,0.019,0.3,0.004
2019-11-18 02:00:00,8,NA,0.017,0.028,0.3,0.004
2019-11-18 01:00:00,8,NA,0.005,0.061,0.6,0.004
2019-11-18 00:00:00,12,NA,0.003,0.086,0.8,0.004
2019-11-17 23:00:00,12,NA,0.003,0.079,0.6,0.004
2019-11-17 22:00:00,10,10,0.005,0.067,0.4,0.004
2019-11-17 21:00:00,10,NA,0.005,0.068,0.4,0.004
2019-11-17 20:00:00,NA,17,0.004,0.074,0.5,0.004
2019-11-17 19:00:00,17,15,0.003,0.085,0.5,0.004
2019-11-17 18:00:00,21,18,0.004,0.078,0.4,0.004
2019-11-17 17:00:00,24,21,NA,0.091,0.5,0.004
2019-11-17 16:00:00,28,27,0.003,0.088,0.6,0.004
2019-11-17 15:00:00,38,27,0.003,0.088,0.7,0.004
2019-11-17 14:00:00,41,30,0.003,0.1,0.9,0.004
2019-11-17 13:00:00,50,28,0.003,0.097,0.7,0.004
2019-11-17 12:00:00,44,27,0.003,0.086,0.6,0.004
2019-11-17 11:00:00,36,23,0.003,0.079,0.5,0.004
2019-11-17 10:00:00,34,22,0.003,0.065,0.5,0.004
2019-11-17 09:00:00,36,18,0.003,0.069,0.6,0.004
2019-11-17 08:00:00,39,29,0.003,0.083,0.9,0.005
2019-11-17 07:00:00,36,30,0.003,0.076,1,0.004
2019-11-17 06:00:00,37,30,0.003,0.077,1,0.004
2019-11-17 05:00:00,36,33,0.003,0.072,1,0.004
2019-11-17 04:00:00,35,31,0.003,0.076,1,0.004
2019-11-17 03:00:00,44,35,0.003,0.084,1.2,0.004
2019-11-17 02:00:00,41,30,0.003,0.079,1,0.004
2019-11-17 01:00:00,43,39,0.003,0.097,1.3,0.005
2019-11-17 00:00:00,51,41,0.003,0.103,1.3,0.005
2019-11-16 23:00:00,48,42,0.003,0.111,1.3,0.005
2019-11-16 22:00:00,49,41,0.003,0.099,1.1,0.004
2019-11-16 21:00:00,63,46,0.003,0.126,1.5,0.005
2019-11-16 20:00:00,54,39,0.003,0.127,1.4,0.005
2019-11-16 19:00:00,50,39,0.003,0.126,1.2,0.005
2019-11-16 18:00:00,58,44,0.003,0.132,1.1,0.005
2019-11-16 17:00:00,58,34,0.003,0.105,0.8,0.004
2019-11-16 16:00:00,46,35,0.004,0.086,0.6,0.004
2019-11-16 15:00:00,45,39,0.005,0.082,0.6,0.004
2019-11-16 14:00:00,48,38,0.004,0.087,0.6,0.004
2019-11-16 13:00:00,49,38,0.004,0.083,0.6,0.004
2019-11-16 12:00:00,42,32,NA,0.076,0.5,0.004
2019-11-16 11:00:00,NA,38,NA,0.082,0.6,0.004
2019-11-16 10:00:00,43,NA,NA,0.073,0.6,0.004
2019-11-16 09:00:00,37,31,0.003,0.097,0.6,0.005
2019-11-16 08:00:00,NA,NA,0.003,0.079,0.6,0.004
2019-11-16 07:00:00,NA,32,0.003,0.061,0.4,0.004
2019-11-16 06:00:00,NA,31,0.003,0.062,0.5,0.004
2019-11-16 05:00:00,NA,32,0.003,0.058,0.5,0.004
2019-11-16 04:00:00,NA,35,0.003,0.06,0.5,0.004
2019-11-16 03:00:00,35,35,0.003,0.067,0.6,0.004
2019-11-16 02:00:00,32,29,0.003,0.077,0.7,0.004
2019-11-16 01:00:00,29,26,0.003,0.085,0.8,0.004
2019-11-16 00:00:00,28,24,0.003,0.08,0.7,0.004
2019-11-15 23:00:00,NA,27,0.003,0.078,0.6,0.004
2019-11-15 22:00:00,30,29,0.003,0.09,0.7,0.004
2019-11-15 21:00:00,NA,29,0.003,0.105,0.8,0.005
2019-11-15 20:00:00,26,25,0.003,0.108,0.8,0.005
2019-11-15 19:00:00,NA,26,0.003,0.103,0.7,0.005
2019-11-15 18:00:00,23,23,0.003,0.106,0.7,0.005
2019-11-15 17:00:00,NA,25,0.003,0.099,0.6,0.004
2019-11-15 16:00:00,27,26,0.003,0.096,0.6,0.004
2019-11-15 15:00:00,NA,27,0.003,0.1,0.6,0.005
2019-11-15 14:00:00,26,23,0.003,0.104,0.6,0.005
2019-11-15 13:00:00,NA,NA,0.003,0.096,0.5,0.004
2019-11-15 12:00:00,NA,19,0.003,0.099,0.5,0.004
2019-11-15 11:00:00,NA,18,0.003,0.11,0.6,0.004
2019-11-15 10:00:00,NA,17,0.003,0.115,0.7,0.005
2019-11-15 09:00:00,NA,14,0.002,0.113,0.6,0.004
2019-11-15 08:00:00,NA,11,0.002,0.113,0.5,0.004
2019-11-15 07:00:00,NA,12,0.003,0.101,0.4,0.004
2019-11-15 06:00:00,NA,12,0.003,0.101,0.5,0.004
2019-11-15 05:00:00,NA,9,0.002,0.095,0.5,0.004
2019-11-15 04:00:00,NA,10,0.002,0.099,0.7,0.005
2019-11-15 03:00:00,NA,18,0.002,0.145,NA,0.006
2019-11-15 02:00:00,NA,13,0.002,0.169,0.9,0.006
2019-11-15 01:00:00,NA,15,0.002,0.21,NA,0.007
2019-11-15 00:00:00,NA,18,0.002,0.126,1.3,0.005
2019-11-14 23:00:00,NA,NA,0.003,0.131,0.9,0.006
2019-11-14 22:00:00,NA,12,0.003,0.174,1,NA
2019-11-14 21:00:00,NA,14,0.003,0.113,0.5,0.004
2019-11-14 20:00:00,29,10,0.003,0.108,0.5,0.004
2019-11-14 19:00:00,NA,11,0.003,0.105,0.5,0.004
2019-11-14 18:00:00,NA,10,0.003,0.113,0.4,0.004
2019-11-14 17:00:00,NA,6,NA,NA,NA,NA
2019-11-14 16:00:00,NA,6,0.005,0.089,0.3,0.004
2019-11-14 15:00:00,NA,6,0.006,0.078,0.3,0.004
2019-11-14 14:00:00,NA,6,0.007,0.077,0.3,0.004
2019-11-14 13:00:00,NA,7,0.005,0.093,0.3,0.004
2019-11-14 12:00:00,NA,6,0.005,0.085,0.3,0.004
2019-11-14 11:00:00,NA,5,0.007,0.065,0.2,0.004
2019-11-14 10:00:00,NA,4,0.006,0.072,0.3,0.004
2019-11-14 09:00:00,23,3,0.005,0.064,0.3,0.004
2019-11-14 08:00:00,NA,4,0.004,0.069,0.3,0.004
2019-11-14 07:00:00,NA,6,0.006,0.056,0.2,0.004
2019-11-14 06:00:00,NA,5,0.009,0.036,0.2,0.004
2019-11-14 05:00:00,11,5,0.011,0.026,0.2,0.004
2019-11-14 04:00:00,15,5,0.012,0.023,0.2,0.004
2019-11-14 03:00:00,12,7,0.011,0.023,0.2,0.004
2019-11-14 02:00:00,13,7,0.011,0.029,0.2,0.004
2019-11-14 01:00:00,16,7,0.01,0.034,0.2,0.004
2019-11-14 00:00:00,17,6,0.008,0.038,0.3,0.004
2019-11-13 23:00:00,13,5,0.007,0.044,0.3,0.004
2019-11-13 22:00:00,16,8,0.006,0.047,0.3,0.004
2019-11-13 21:00:00,10,NA,0.006,0.053,0.4,0.004
2019-11-13 20:00:00,8,8,0.004,0.06,0.4,0.004
2019-11-13 19:00:00,10,9,0.003,0.067,0.5,0.004
2019-11-13 18:00:00,10,9,0.004,0.07,0.6,0.004
2019-11-13 17:00:00,NA,17,0.005,0.078,0.6,0.004
2019-11-13 16:00:00,NA,24,0.003,0.089,0.6,0.004
2019-11-13 15:00:00,36,29,0.003,0.092,0.7,0.004
2019-11-13 14:00:00,38,28,0.003,0.094,0.8,0.005
2019-11-13 13:00:00,58,45,0.002,0.106,0.9,0.005
2019-11-13 12:00:00,51,40,0.002,0.095,0.8,0.005
2019-11-13 11:00:00,50,34,0.002,0.095,0.8,0.005
2019-11-13 10:00:00,43,32,0.002,0.096,0.8,0.005
2019-11-13 09:00:00,41,30,0.002,0.106,0.8,0.005
