ID,Time,Temperature,Precipitation,WindVelocity,WindDirection
90,2019-09-16 1:00,16.5,,1.8,290
90,2019-09-16 2:00,16.2,,0.9,270
90,2019-09-16 3:00,16.2,,1.3,230
90,2019-09-16 4:00,16.8,,1.6,270
90,2019-09-16 5:00,16.9,,1.1,270
90,2019-09-16 6:00,17.3,,1.2,270
90,2019-09-16 7:00,17.6,,1.2,270
90,2019-09-16 8:00,18.6,,1.3,290
90,2019-09-16 9:00,20.5,,1.1,340
90,2019-09-16 10:00,22.7,,1.9,50
90,2019-09-16 11:00,22.3,,2.2,20
90,2019-09-16 12:00,22.8,,2.2,50
90,2019-09-16 13:00,24,,1.6,50
90,2019-09-16 14:00,23.4,,2,20
90,2019-09-16 15:00,23.7,,1.3,70
90,2019-09-16 16:00,23.9,,1.3,70
90,2019-09-16 17:00,23,,1.2,50
90,2019-09-16 18:00,22,,0.4,0
90,2019-09-16 19:00,20,,1,270
90,2019-09-16 20:00,18.6,,1.6,270
90,2019-09-16 21:00,17.5,,1.1,270
90,2019-09-16 22:00,17.2,,1.4,270
90,2019-09-16 23:00,17.2,,2.1,270
90,2019-09-17 0:00,16.4,,1.3,270
90,2019-09-17 1:00,16.4,,1.8,290
90,2019-09-17 2:00,16.6,,2,270
90,2019-09-17 3:00,16.6,,2.1,270
90,2019-09-17 4:00,16.3,,2.6,270
90,2019-09-17 5:00,16.4,,1.7,270
90,2019-09-17 6:00,16.4,,2.4,270
90,2019-09-17 7:00,17.2,,1.9,290
90,2019-09-17 8:00,20.3,,0.9,290
90,2019-09-17 9:00,21.4,,1.4,50
90,2019-09-17 10:00,22.5,,1.5,20
90,2019-09-17 11:00,23.2,,1.8,90
90,2019-09-17 12:00,23.6,,1.8,90
90,2019-09-17 13:00,23.4,,1.9,90
90,2019-09-17 14:00,23.7,,1.6,90
90,2019-09-17 15:00,23.3,,2.5,110
90,2019-09-17 16:00,23.6,,2.5,140
90,2019-09-17 17:00,22.5,,2.7,140
90,2019-09-17 18:00,21.8,,2.5,140
90,2019-09-17 19:00,21.6,,2.1,180
90,2019-09-17 20:00,20.9,,0.8,200
90,2019-09-17 21:00,20.3,,0.8,230
90,2019-09-17 22:00,19.3,,1,230
90,2019-09-17 23:00,19,,1,290
90,2019-09-18 0:00,19.1,,0.9,230
90,2019-09-18 1:00,18.5,,0.8,270
90,2019-09-18 2:00,18.4,,1.4,230
90,2019-09-18 3:00,18.3,,0.5,250
90,2019-09-18 4:00,18.5,,0.5,290
90,2019-09-18 5:00,18.9,,1.7,320
90,2019-09-18 6:00,19.4,,1.3,290
90,2019-09-18 7:00,20.1,,0.6,250
90,2019-09-18 8:00,23.1,,0.5,140
90,2019-09-18 9:00,24.5,,0.9,360
90,2019-09-18 10:00,24.9,,1.5,50
90,2019-09-18 11:00,23.6,,5.2,360
90,2019-09-18 12:00,23.1,,4.3,360
90,2019-09-18 13:00,22.8,,5,360
90,2019-09-18 14:00,22.4,,4.2,360
90,2019-09-18 15:00,22,,2.7,20
90,2019-09-18 16:00,22.6,,1.9,20
90,2019-09-18 17:00,22.1,,0.8,50
90,2019-09-18 18:00,20.8,,1.7,110
90,2019-09-18 19:00,18.4,,1.1,270
90,2019-09-18 20:00,17.9,,0.9,270
90,2019-09-18 21:00,18.3,,0.7,250
90,2019-09-18 22:00,18.4,,0.8,230
90,2019-09-18 23:00,17.9,,0.5,250
90,2019-09-19 0:00,17.4,,0.8,270
90,2019-09-19 1:00,17.3,,1.4,230
90,2019-09-19 2:00,17.8,,1.2,230
90,2019-09-19 3:00,17.2,,0.7,250
90,2019-09-19 4:00,19.2,,3.2,160
90,2019-09-19 5:00,17.6,,1.1,230
90,2019-09-19 6:00,16.8,,0.7,270
90,2019-09-19 7:00,17.5,,0.4,0
